iter	Passed	Remaining
0	133	133169
1	134	66996
2	134	44847
3	135	33773
4	136	27142
5	137	22714
6	137	19542
7	138	17160
8	139	15311
9	139	13832
10	140	12618
11	141	11609
12	141	10758
13	142	10036
14	143	9403
15	143	8849
16	144	8372
17	145	7944
18	146	7557
19	147	7206
20	147	6889
21	148	6599
22	149	6342
23	150	6126
24	151	5910
25	152	5703
26	152	5510
27	153	5331
28	154	5166
29	155	5011
30	155	4870
31	156	4735
32	157	4616
33	158	4496
34	159	4384
35	159	4277
36	160	4176
37	161	4084
38	162	3996
39	163	3924
40	164	3844
41	165	3766
42	165	3691
43	166	3622
44	167	3555
45	168	3496
46	169	3441
47	170	3385
48	171	3331
49	172	3279
50	173	3232
51	174	3185
52	175	3139
53	176	3093
54	177	3051
55	178	3009
56	179	2968
57	180	2929
58	181	2893
59	182	2861
60	183	2827
61	184	2792
62	185	2758
63	186	2729
64	187	2701
65	188	2673
66	189	2643
67	190	2614
68	191	2587
69	192	2563
70	194	2539
71	195	2515
72	196	2491
73	197	2466
74	198	2445
75	199	2422
76	200	2399
77	201	2377
78	202	2355
79	203	2334
80	204	2317
81	205	2300
82	206	2275
83	206	2256
84	207	2237
85	208	2218
86	209	2200
87	210	2185
88	211	2167
89	212	2151
90	213	2134
91	214	2117
92	215	2102
93	216	2088
94	217	2073
95	218	2058
96	219	2043
97	220	2028
98	221	2014
99	222	2001
100	223	1988
101	224	1975
102	225	1963
103	226	1952
104	227	1940
105	228	1928
106	229	1916
107	230	1903
108	231	1891
109	232	1879
110	233	1868
111	234	1857
112	235	1847
113	236	1836
114	237	1825
115	238	1815
116	239	1803
117	239	1793
118	241	1784
119	241	1773
120	242	1763
121	243	1752
122	244	1743
123	245	1733
124	246	1724
125	247	1715
126	248	1704
127	248	1696
128	249	1687
129	250	1678
130	251	1670
131	252	1662
132	253	1653
133	254	1645
134	255	1637
135	256	1628
136	257	1620
137	258	1613
138	259	1606
139	260	1600
140	261	1593
141	262	1584
142	263	1577
143	264	1570
144	265	1563
145	266	1557
146	267	1550
147	268	1543
148	269	1536
149	269	1529
150	270	1523
151	271	1517
152	272	1510
153	273	1503
154	274	1497
155	275	1490
156	276	1484
157	277	1478
158	278	1473
159	279	1468
160	280	1460
161	281	1454
162	282	1448
163	282	1442
164	284	1437
165	285	1431
166	285	1426
167	286	1420
168	287	1414
169	288	1409
170	290	1408
171	291	1403
172	292	1397
173	293	1392
174	294	1387
175	295	1381
176	296	1376
177	297	1372
178	298	1367
179	299	1362
180	299	1357
181	300	1352
182	301	1347
183	302	1343
184	303	1338
185	304	1333
186	305	1329
187	306	1325
188	307	1320
189	308	1316
190	309	1311
191	310	1307
192	311	1303
193	312	1299
194	313	1294
195	314	1290
196	315	1286
197	316	1281
198	317	1277
199	318	1273
200	319	1269
201	320	1265
202	321	1261
203	322	1256
204	323	1252
205	323	1248
206	324	1244
207	325	1240
208	326	1237
209	327	1233
210	328	1229
211	329	1224
212	330	1221
213	331	1218
214	332	1215
215	333	1211
216	334	1207
217	335	1203
218	336	1200
219	337	1196
220	338	1193
221	339	1190
222	340	1186
223	341	1182
224	342	1179
225	343	1175
226	344	1172
227	345	1169
228	346	1166
229	347	1162
230	348	1158
231	349	1155
232	349	1151
233	351	1150
234	352	1148
235	353	1145
236	354	1141
237	355	1138
238	356	1135
239	358	1134
240	359	1132
241	360	1128
242	361	1125
243	362	1122
244	363	1119
245	364	1116
246	365	1114
247	366	1111
248	367	1109
249	368	1106
250	369	1104
251	370	1101
252	371	1098
253	373	1095
254	374	1095
255	376	1092
256	377	1089
257	377	1086
258	379	1085
259	380	1083
260	381	1081
261	382	1078
262	383	1075
263	384	1073
264	387	1073
265	388	1071
266	389	1069
267	390	1066
268	392	1065
269	393	1062
270	394	1062
271	396	1060
272	397	1057
273	398	1055
274	399	1052
275	400	1050
276	401	1048
277	403	1046
278	404	1045
279	405	1043
280	406	1041
281	408	1039
282	409	1036
283	410	1034
284	411	1033
285	413	1031
286	414	1029
287	415	1026
288	416	1024
289	417	1022
290	418	1020
291	419	1017
292	421	1015
293	422	1013
294	423	1011
295	424	1010
296	426	1008
297	427	1006
298	428	1003
299	429	1001
300	430	999
301	431	997
302	432	995
303	433	993
304	435	991
305	436	990
306	437	988
307	439	986
308	440	985
309	441	982
310	442	981
311	444	979
312	445	978
313	447	977
314	448	975
315	449	973
316	451	971
317	452	970
318	453	968
319	454	966
320	456	965
321	457	963
322	459	962
323	460	960
324	461	958
325	462	956
326	464	955
327	465	952
328	466	950
329	467	949
330	468	947
331	469	945
332	471	943
333	472	941
334	473	939
335	474	937
336	475	935
337	476	933
338	478	932
339	479	930
340	480	928
341	481	926
342	482	924
343	484	923
344	485	921
345	486	920
346	487	918
347	489	916
348	490	914
349	491	912
